# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
# wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1850.0000,45,2.09,97.077,0,99.167
1864.0000,45,2.09,97.077,0,99.167
1878.0000,45,2.09,97.077,0,99.167
1892.0000,45,2.09,97.077,0,99.167
1906.0000,45,2.09,97.077,0,99.167
1920.0000,45,2.09,97.077,0,99.167
1934.0000,45,2.09,97.077,0,99.167
1948.0000,45,2.09,97.077,0,99.167
1962.0000,45,2.09,97.077,0,99.167
1976.0000,45,2.09,97.077,0,99.167
1990.0000,45,2.09,97.077,0,99.167
2004.0000,45,2.09,97.077,4040.8,4140
2018.0000,45,2.09,97.077,4809.1,4908.3
2032.0000,45,2.09,97.077,5688,5787.1
2046.0000,45,2.09,97.077,7068.1,7167.2
2060.0000,45,2.09,97.077,6555.8,6655
2074.0000,45,2.09,97.077,8843.5,8942.7
2088.0000,45,2.09,97.077,12235,12334
2102.0000,45,2.09,97.077,15712,15811
2116.0000,45,2.09,97.077,20103,20203
2130.0000,45,2.09,97.077,18509,18608
2144.0000,45,2.09,97.077,22985,23084
2158.0000,45,2.09,97.077,24926,25025
2172.0000,45,2.09,97.077,24479,24578
2186.0000,45,2.09,97.077,30727,30826
2200.0000,45,2.09,97.077,32414,32513
2214.0000,45,2.09,97.077,25939,26038
2228.0000,45,2.09,97.077,30642,30741
2242.0000,45,2.09,97.077,35667,35766
2256.0000,45,2.09,97.077,27302,27401
2270.0000,45,2.09,97.077,29032,29132
2284.0000,45,2.09,97.077,36604,36703
2298.0000,45,2.09,97.077,35500,35600
2312.0000,45,2.09,97.077,36620,36720
2326.0000,45,2.09,97.077,30734,30833
2340.0000,45,2.09,97.077,17171,17270
2354.0000,45,2.09,97.077,23952,24051
2368.0000,45,2.09,97.077,17672,17771
2382.0000,45,2.09,97.077,14109,14208
2396.0000,45,2.09,97.077,13468,13567
2410.0000,45,2.09,97.077,16426,16525
2424.0000,45,2.09,97.077,31498,31597
2438.0000,45,2.09,97.077,37514,37613
2452.0000,45,2.09,97.077,42843,42942
2466.0000,45,2.09,97.077,37843,37942
2480.0000,45,2.09,97.077,29078,29177
2494.0000,45,2.09,97.077,28385,28485
2508.0000,45,2.09,97.077,31758,31857
2522.0000,45,2.09,97.077,15644,15743
2536.0000,45,2.09,97.077,15717,15816
2550.0000,45,2.09,97.077,25103,25202
2564.0000,45,2.09,97.077,28884,28983
2578.0000,45,2.09,97.077,32581,32680
2592.0000,45,2.09,97.077,27621,27721
2606.0000,45,2.09,97.077,21384,21483
2620.0000,45,2.09,97.077,23318,23417
2634.0000,45,2.09,97.077,42191,42290
2648.0000,45,2.09,97.077,63871,63970
2662.0000,45,2.09,97.077,56185,56284
2676.0000,45,2.09,97.077,53735,53834
2690.0000,45,2.09,97.077,50801,50900
2704.0000,45,2.09,97.077,49200,49299
2718.0000,45,2.09,97.077,39603,39702
2732.0000,45,2.09,97.077,39593,39692
2746.0000,45,2.09,97.077,25166,25265
2760.0000,45,2.09,97.077,32469,32568
2774.0000,45,2.09,97.077,39166,39265
2788.0000,45,2.09,97.077,19290,19389
2802.0000,45,2.09,97.077,10833,10932
2816.0000,45,2.09,97.077,39383,39482
2830.0000,45,2.09,97.077,57036,57135
2844.0000,45,2.09,97.077,47681,47780
2858.0000,45,2.09,97.077,39919,40018
2872.0000,45,2.09,97.077,61607,61706
2886.0000,45,2.09,97.077,60181,60280
2900.0000,45,2.09,97.077,67759,67858
2914.0000,45,2.09,97.077,77785,77884
2928.0000,45,2.09,97.077,73202,73301
2942.0000,45,2.09,97.077,71552,71651
2956.0000,45,2.09,97.077,73755,73855
2970.0000,45,2.09,97.077,78831,78930
2984.0000,45,2.09,97.077,79194,79293
2998.0000,45,2.09,97.077,81206,81305
